regiao,uf,municipio,co_ibge,cnes,comp,nome_estabelecimento,razao_social,tipo_gestao,ds_tipo_unidade,desc_natureza_juridica,leitos_existentes,leitos_sus,populacao,id_estabelecimento,existentes_nao_sus,percentual_sus
SUDESTE,MG,VARGINHA,317070,2761041,202603,HOSPITAL REGIONAL DO SUL DE MINAS,HOSPITAL REGIONAL DO SUL DE MINAS,Municipal,HOSPITAL GERAL,HOSPITAL_FILANTRÓPICO,179,137,143676.0,2761041,42,76.53631284916202
SUDESTE,MG,VARGINHA,317070,2761092,202603,HOSPITAL BOM PASTOR,FUNDACAO HOSPITALAR DO MUNICIPIO DE VARGINHA,Municipal,HOSPITAL GERAL,HOSPITAL_PÚBLICO,110,110,143676.0,2761092,0,100.0
SUDESTE,MG,VARGINHA,317070,2761319,202603,HOSPITAL HUMANITAS UNIMED,UNIMED VARGINHA COOPERATIVA DE TRABALHO MEDICO,Municipal,HOSPITAL GERAL,HOSPITAL_PRIVADO,88,0,143676.0,2761319,88,0.0
SUDESTE,MG,VARGINHA,317070,6363326,202603,HOSPITAL VARGINHA,HOSPITAL VARGINHA S A,Municipal,HOSPITAL GERAL,HOSPITAL_PRIVADO,17,0,143676.0,6363326,17,0.0
SUDESTE,MG,VARZEA DA PALMA,317080,2149710,202603,HOSPITAL MUNICIPAL E PRONTO SOCORRO DE VARZEA DA PALMA,PREFEITURA MUNICIPAL DE VARZEA DA PALMA,Municipal,HOSPITAL GERAL,HOSPITAL_PÚBLICO,44,44,34555.0,2149710,0,100.0
SUDESTE,MG,VARZELANDIA,317090,2104741,202603,HOSPITAL NOSSA SENHORA APARECIDA,FUNDACAO HOSPITALAR DE SAUDE,Municipal,HOSPITAL GERAL,HOSPITAL_FILANTRÓPICO,23,23,19210.0,2104741,0,100.0
SUDESTE,MG,VAZANTE,317100,2118092,202603,HOSPITAL MUNICIPAL NOSSA SENHORA DA LAPA,PREFEITURA MUNICIPAL DE VAZANTE,Municipal,HOSPITAL GERAL,HOSPITAL_PÚBLICO,52,49,20459.0,2118092,3,94.23076923076923
SUDESTE,MG,VESPASIANO,317120,6856209,202603,HOSPITAL DE DEUS,FUNDACAO VESPASIANENSE DE SAUDE,Municipal,HOSPITAL GERAL,HOSPITAL_FILANTRÓPICO,50,40,138583.0,6856209,10,80.0
SUDESTE,MG,VICOSA,317130,2099438,202603,HOSPITAL SAO JOAO BATISTA,FUNDACAO ASSISTENCIAL VICOSENSE,Municipal,HOSPITAL GERAL,HOSPITAL_FILANTRÓPICO,91,61,79517.0,2099438,30,67.03296703296702
SUDESTE,MG,VICOSA,317130,2099454,202603,HOSPITAL SAO SEBASTIAO,CASA DE CARIDADE DE VICOSA HOSPITAL SAO SEBASTIAO,Municipal,HOSPITAL GERAL,HOSPITAL_FILANTRÓPICO,104,81,79517.0,2099454,23,77.88461538461539
SUDESTE,MG,VIRGEM DA LAPA,317160,2134306,202603,HOSPITAL SAO DOMINGOS,PREFEITURA MUNICIPAL DE VIRGEM DA LAPA,Municipal,HOSPITAL GERAL,HOSPITAL_PÚBLICO,39,39,11774.0,2134306,0,100.0
SUDESTE,MG,VIRGINIA,317170,2764822,202603,CASA DE CARIDADE SANTO ANTONIO,CASA DE CARIDADE SANTO ANTONIO,Municipal,HOSPITAL GERAL,HOSPITAL_FILANTRÓPICO,37,37,9164.0,2764822,0,100.0
SUDESTE,MG,VIRGINOPOLIS,317180,2144557,202603,HOSPITAL SAO JOSE VIRGINOPOLIS,ASSOCIACAO DE PROTECAO E ASSIST A MATERNIDADE E A INFANCIA,Municipal,HOSPITAL GERAL,HOSPITAL_FILANTRÓPICO,41,39,10511.0,2144557,2,95.1219512195122
SUDESTE,MG,VISCONDE DO RIO BRANCO,317200,2760843,202603,HOSPITAL SAO JOAO BATISTA,ASSOCIACAO BENEFICENTE SAO JOAO BATISTA,Municipal,HOSPITAL GERAL,HOSPITAL_FILANTRÓPICO,100,70,40711.0,2760843,30,70.0
SUDESTE,RJ,ANGRA DOS REIS,330010,2280868,202603,HOSPITAL MATERNIDADE DE ANGRA DOS REIS HMAR,HOSPITAL MATERNIDADE DE ANGRA DOS REIS HMAR,Municipal,HOSPITAL GERAL,HOSPITAL_PÚBLICO,77,69,179142.0,2280868,8,89.6103896103896
SUDESTE,RJ,ANGRA DOS REIS,330010,2281287,202603,HOSPITAL UNIMED VOLTA REDONDA UNIDADE LITORAL SUL,HOSPITAL LITORAL SUL LTDA,Municipal,HOSPITAL GERAL,HOSPITAL_PRIVADO,24,0,179142.0,2281287,24,0.0
